name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,description
chittagong,1/1/2010,24,14.4,20.5,24,14.4,20.5,14.7,70.9,0,0,0,,26.6,300.4,1013.6,7.3,3.5,241.1,15.5,7,0.51,Clear,Clear conditions throughout the day.
chittagong,1/2/2010,22,15,19,22,15,19,15.1,78.5,0,0,0,,28.8,309.8,,30.9,3.1,191.3,16.5,7,0.53,Partially cloudy,Clearing in the afternoon.
chittagong,1/3/2010,25,15,20.2,25,15,20.2,16.2,79.5,0,0,0,,22.7,271.3,,5.8,3.2,190.9,16.3,7,0.55,Clear,Clear conditions throughout the day.
chittagong,1/4/2010,23,15,19.4,23,15,19.4,16.2,82.4,0,0,0,,20.9,262.6,,26.3,2.4,188.5,16.2,7,0.6,Partially cloudy,Clearing in the afternoon.
chittagong,1/5/2010,22,15,19.5,22,15,19.5,14.6,74.1,0,0,0,,22.7,250.2,,7.6,2.9,176.4,15.3,7,0.65,Clear,Clear conditions throughout the day.
chittagong,1/6/2010,23,15,19.5,23,15,19.5,14,72.3,0,0,0,,29.2,301.4,,0.2,3.2,197.4,17,7,0.7,Clear,Clear conditions throughout the day.
chittagong,1/7/2010,23,16.1,19.6,23,16.1,19.6,14.5,74.2,0,0,0,,23,285,,9.2,3.6,205.9,17.7,8,0.76,Clear,Clear conditions throughout the day.
chittagong,1/8/2010,27,18,21.2,26.8,18,21.2,14.4,66.4,0,0,0,,18.4,241.9,,10.6,3.9,213.2,18.5,8,0.81,Clear,Clear conditions throughout the day.
chittagong,1/9/2010,26,17,21.7,26,17,21.7,13.8,63.3,0,0,0,,16.2,287.6,,34.1,3.8,199.5,17.1,7,0.86,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/10/2010,26,17,21.2,26,17,21.2,13.4,63.1,0,0,0,,19.8,228.1,,9.4,3.5,194.8,16.8,7,0.9,Clear,Clear conditions throughout the day.
chittagong,1/11/2010,25,17.3,20.3,25,17.3,20.3,14.1,70,0,0,0,,21.2,229.7,,25.7,3.7,180.5,15.5,7,0.94,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/12/2010,24,16,20,24,16,20,13.2,66.6,0,0,0,,22.7,236.6,,10.4,3.5,183.4,15.9,7,0.97,Clear,Clear conditions throughout the day.
chittagong,1/13/2010,23.1,16,19.8,23.1,16,19.8,13.7,68.5,0,0,0,,20.9,244.5,,20.1,2.7,187.5,16.2,7,0.99,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/14/2010,23.1,15,19.8,23.1,15,19.8,15,74.5,0,0,0,,19.8,268.2,,53.6,3.1,162.4,14.1,6,1,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/15/2010,26,17,21.5,26,17,21.5,15.1,68.6,0,0,0,,28.8,308.4,,20.6,3.4,194.1,16.6,7,0,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/16/2010,24,16,20.1,24,16,20.1,14.4,71.5,0,0,0,,27.7,299.7,,43.1,3.1,183.8,16.1,7,0.01,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/17/2010,22,16,18.6,22,16,18.6,15.4,82.2,0,0,0,,18.4,303.7,,21.9,2.6,202.2,17.4,7,0.02,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/18/2010,22,16,18.7,22,16,18.7,15.6,82.7,0,0,0,,19.1,267.9,,46.3,3,189.7,16.4,7,0.04,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/19/2010,21.5,17,18.9,21.5,17,18.9,14.7,77.5,0,0,0,,16.6,285.9,,61.2,3.6,199.3,16.9,8,0.08,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/20/2010,23,15,19.5,23,15,19.5,15.8,79.8,0,0,0,,20.9,286.3,,13.7,3,201.5,17.3,8,0.11,Clear,Clear conditions throughout the day.
chittagong,1/21/2010,24,16,20.2,24,16,20.2,16.3,79.4,0,0,0,,23.8,314.9,,7.9,2.1,212.5,18.4,8,0.15,Clear,Clear conditions throughout the day.
chittagong,1/22/2010,25,16,20.6,25,16,20.6,15.9,76.1,0,0,0,,21.6,260.5,,2.1,3.2,219.6,18.9,8,0.2,Clear,Clear conditions throughout the day.
chittagong,1/23/2010,26.1,18.1,21.4,26.1,18.1,21.4,15.4,70.2,0,0,0,,17.6,285,,1.3,3.5,216,18.7,8,0.25,Clear,Clear conditions throughout the day.
chittagong,1/24/2010,28,16,21.5,28,16,21.5,14.5,67.3,0,0,0,,13,180.2,,0,3.6,218.7,18.9,8,0.3,Clear,Clear conditions throughout the day.
chittagong,1/25/2010,26.1,17.1,21.4,26.1,17.1,21.4,16,72,0,0,0,,12.2,193.1,,3.5,4,222.1,19.2,8,0.36,Clear,Clear conditions throughout the day.
chittagong,1/26/2010,27.1,19,22,27,19,22,15.5,68.3,0,0,0,,14.8,199.4,,1.1,3,208.5,18.1,8,0.4,Clear,Clear conditions throughout the day.
chittagong,1/27/2010,28,18.5,22,27.2,18.5,21.9,14,63.2,0,0,0,,22.3,211.5,,0,3.8,205.7,17.9,8,0.45,Clear,Clear conditions throughout the day.
chittagong,1/28/2010,27,17.8,21.9,26.6,17.8,21.9,13.9,63.7,0,0,0,,25.6,308.8,,52.4,4.3,219.9,19.2,8,0.48,Partially cloudy,Partly cloudy throughout the day.
chittagong,1/29/2010,27,16,21.5,27.1,16,21.4,14,65,0,0,0,,24.1,227.5,,5.7,3.9,220.5,19,8,0.5,Clear,Clear conditions throughout the day.
chittagong,1/30/2010,26,17.1,21.7,26,17.1,21.7,13,60.8,0,0,0,,15.8,284.6,,0,3.9,209.9,18.4,8,0.5,Clear,Clear conditions throughout the day.
chittagong,1/31/2010,26,18,22.2,26,18,22.2,14.3,63.6,0,0,0,,18.4,213.7,,9.7,3.7,197.4,17,8,0.52,Clear,Clear conditions throughout the day.
chittagong,2/1/2010,26,18.3,21.8,26,18.3,21.8,12.6,59.5,0,0,0,,27.7,277.7,,40.8,4.8,205.6,17.8,7,0.54,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/2/2010,26,17,21.1,26,17,21.1,12.6,62,0,0,0,,22,219.3,,55.2,4.8,172.1,15,6,0.57,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/3/2010,27,17,22,26.6,17,21.9,12.6,57.9,0,0,0,,22.3,164.6,,0.2,4.4,219.8,19.1,8,0.62,Clear,Clear conditions throughout the day.
